state,latitude,longitude,name,NeighborStateCode
AL,32.318231,-86.902298,Alabama,FL GA MS TN
AR,35.20105,-91.831833,Arkansas,LA MO MS OK TN TX
AZ,34.048928,-111.093731,Arizona,CA CO NM NV UT
CA,36.778261,-119.417932,California,NV OR
CO,39.550051,-105.782067,Colorado,KS NE NM OK UT WY
CT,41.603221,-73.087749,Connecticut,MA NY RI
DC,38.905985,-77.033418,District of Columbia,MD VA
DE,38.910832,-75.52767,Delaware,MD NJ PA
FL,27.664827,-81.515754,Florida,GA
GA,32.157435,-82.907123,Georgia,NC SC TN
IA,41.878003,-93.097702,Iowa,IL MN MO NE SD WI
ID,44.068202,-114.742041,Idaho,MT NV OR UT WA WY
IL,40.633125,-89.398528,Illinois,IN KY MO WI
IN,40.551217,-85.602364,Indiana,KY MI OH
KS,39.011902,-98.484246,Kansas,MO NE OK
KY,37.839333,-84.270018,Kentucky,MO OH TN VA WV
LA,31.244823,-92.145024,Louisiana,MS TX
MA,42.407211,-71.382437,Massachusetts,NY RI VT
MD,39.045755,-76.641271,Maryland,PA VA WV
ME,45.253783,-69.445469,Maine,NH
MI,44.314844,-85.602364,Michigan,OH WI
MN,46.729553,-94.6859,Minnesota,ND SD WI
MO,37.964253,-91.831833,Missouri,NE OK TN
MS,32.354668,-89.398528,Mississippi,TN
MT,46.879682,-110.362566,Montana,ND SD WY
NC,35.759573,-79.0193,North Carolina,SC TN VA
ND,47.551493,-101.002012,North Dakota,SD
NE,41.492537,-99.901813,Nebraska,SD WY
NH,43.193852,-71.572395,New Hampshire,VT
NJ,40.058324,-74.405661,New Jersey,NY PA
NM,34.97273,-105.032363,New Mexico,OK TX UT
NV,38.80261,-116.419389,Nevada,OR UT
NY,43.299428,-74.217933,New York,PA VT
OH,40.417287,-82.907123,Ohio,PA WV
OK,35.007752,-97.092877,Oklahoma,TX
OR,43.804133,-120.554201,Oregon,WA
PA,41.203322,-77.194525,Pennsylvania,WY
RI,41.580095,-71.477429,Rhode Island,CT MA
SC,33.836081,-81.163725,South Carolina,NC GA
SD,43.969515,-99.901813,South Dakota,WY
TN,35.517491,-86.580447,Tennessee,VA
TX,31.968599,-99.901813,Texas,NM OK AR LA
UT,39.32098,-111.093731,Utah,ID NV AZ CO WY
VA,37.431573,-78.656894,Virginia,NC TN KY WV
VT,44.558803,-72.577841,Vermont,NY MA NH
WA,47.751074,-120.740139,Washington,ID OR
WI,43.78444,-88.787868,Wisconsin,MI MN IA IL
WV,38.597626,-80.454903,West Virginia,KY OH PA VA MD
WY,43.075968,-107.290284,Wyoming,ID MT SD NE CO UT
